ArtistID,ArtistName
176,Bruce Springsteen
2607,Boots Randolph
3228,Barbara Fairchild
179,Remy Boyz
1979,Gary Wright
181,Craig David
183,Youssou N'Dour 
3160,Public Announcement 
3159,LeLe
4971,British Lions
4074,Stacy Earl (
4804,Elvis Costello
184,Lukas Graham
1877,KIX
2637,Hootie 
481,Bobby Caldwell
2523,The Hives
3134,Famous Dex
222,Romeo Void
731,Megan Thee Stallion
4713,Chi Coltrane
1660,Johnny Nash
1631,Lee Ritenour
185,Prince And The New Power Generation
1380,Frank Stallone
3480,Melissa Manchester 
186,Blaque
3314,The Rings
395,Diana King
4441,Noel Harrison
3787,NB Ridaz 
1003,Joe Henderson
4391,Wa Wa Nee
188,Rich
189,Big 
3478,The Blue Jays
190,Sugarhill Gang
191,Kimberley Locke
4434,The Ides Of March
854,Jefferson Airplane
4013,The Blue Diamonds
192,Dolly Parton
4368,4 The Cause
230,Art Garfunkel
1461,Bob Welch
193,Mary J. Blige
194,Wyclef Jean 
199,The O'Jays
195,Souls Of Mischief
338,Nadine Sutherland
3290,DJ Snake 
654,112 
533,Lasgo
4367,The Fabulous Thunderbirds
1582,Young The Giant
1130,Cheech 
200,Toto
1378,Gary Numan
201,Hurricane Chris
3299,Imani Coppola
1848,Degrees Of Motion
1444,Project Pat
830,The Shadows Of Knight
1896,Jack White
202,The Rascals
2827,Reel 2 Real 
203,Cher
2268,Ultra Nate
249,Freddie And The Dreamers
505,Calloway
228,Garfunkel
204,Sonny 
445,Somethin' For The People
1866,Bobby Pinson
436,Nicki Minaj
262,Ty Herndon
4023,Jeff Foxworthy
3408,Annette
206,Johnny Cash
368,Crash Test Dummies
1824,Jon 
207,Frankie Avalon
2390,Donny Hathaway
1170,Paul Wall 
444,Troop
208,Dusty Springfield
3302,Passenger
275,Jethro Tull
561,Barbara Acklin
5022,Sugar Bears
1698,Chic
209,Warren Zevon
449,The Moments
210,Johnny Mathis
2960,The Chimes
3100,X-Ecutioners
1001,Buck Owens and The Buckaroos
863,Danger Danger
912,Johnny And The Hurricanes
211,Pete Fountain
4531,Mannie Fresh 
3245,Brandon
212,Walter Jackson
1780,Adam Ant
213,Lisette Melendez
